location_name,location_code,week_start,pda_water_ng_ml,tda_water_ng_ml,pn_total_cells_l,pn_seriata_cells_l,alexandrium_cells_l,dinophysis_cells_l,total_phyto_cells_l,insitu_sst_c,insitu_chl_mg_m3,nitrate_um,silicate_um,n_samples,hazard_truth_status,insitu_physical_status
Bodega Marine Lab,BML,2023-06-26,,,3.0,3.0,0.0,0.0,5341.0,12.7,,,,1,partial,partial
Bodega Marine Lab,BML,2023-07-03,,,0.0,0.0,0.0,0.0,376.0,13.3,,,,1,partial,partial
Bodega Marine Lab,BML,2023-07-10,,,0.0,0.0,0.0,0.0,878.0,10.6,,,,1,partial,partial
Bodega Marine Lab,BML,2023-07-17,,,0.0,0.0,0.0,20.0,709.0,12.4,,,,1,partial,partial
Bodega Marine Lab,BML,2023-07-24,,,0.0,0.0,0.0,0.0,652.0,10.9,,,,1,partial,partial
Bodega Marine Lab,BML,2023-07-31,,,1776.0,1776.0,0.0,25.5,11166.0,11.65,,,,2,partial,partial
Bodega Marine Lab,BML,2023-08-07,,,57.0,57.0,0.0,0.0,1927.0,10.8,,,,1,partial,partial
Bodega Marine Lab,BML,2023-08-14,,,0.0,0.0,52.0,412.0,2436.0,15.7,,,,2,partial,partial
Bodega Marine Lab,BML,2023-08-21,,,0.0,0.0,0.0,1896.0,3420.0,16.2,,,,1,partial,partial
Bodega Marine Lab,BML,2023-08-28,,,0.0,0.0,0.0,0.0,299.0,13.2,,,,1,partial,partial
Bodega Marine Lab,BML,2023-09-04,,,2.5,2.5,0.0,657.5,9181.0,14.55,,,,2,partial,partial
Bodega Marine Lab,BML,2023-09-11,,,0.0,0.0,0.0,3.0,931.0,13.3,,,,1,partial,partial
Bodega Marine Lab,BML,2023-09-18,,,74.0,29.0,0.0,61.0,3686.0,15.8,,,,1,partial,partial
Bodega Marine Lab,BML,2023-09-25,,,11.0,11.0,0.0,54.0,3393.0,16.1,,,,1,partial,partial
Bodega Marine Lab,BML,2023-10-02,,,0.0,0.0,0.0,15.5,1776.0,14.05,,,,2,partial,partial
Bodega Marine Lab,BML,2023-10-09,,,0.0,0.0,0.0,30.0,576.0,15.3,,,,1,partial,partial
Bodega Marine Lab,BML,2023-10-16,,,0.0,0.0,0.0,69.0,2695.0,14.5,,,,1,partial,partial
Bodega Marine Lab,BML,2023-10-23,,,0.0,0.0,0.0,103.0,2741.0,14.9,,,,1,partial,partial
Bodega Marine Lab,BML,2023-10-30,,,0.0,0.0,0.0,18.0,366.0,12.4,,,,1,partial,partial
Bodega Marine Lab,BML,2023-11-06,,,188.0,130.0,0.0,72.0,1411.0,14.0,,,,1,partial,partial
Bodega Marine Lab,BML,2023-11-13,,,6.0,6.0,45.0,37.0,1619.0,14.9,,,,1,partial,partial
Bodega Marine Lab,BML,2023-11-20,,,7.0,7.0,41.0,75.0,919.0,13.7,,,,1,partial,partial
Bodega Marine Lab,BML,2023-11-27,,,9.0,9.0,199.5,74.5,1652.5,13.7,,,,2,partial,partial
Bodega Marine Lab,BML,2023-12-04,,,19.0,19.0,11.0,0.0,1368.0,13.7,,,,1,partial,partial
Bodega Marine Lab,BML,2023-12-11,,,14.0,14.0,5.0,17.0,981.0,13.4,,,,1,partial,partial
Bodega Marine Lab,BML,2024-01-01,,,6.0,6.0,0.0,8.0,457.0,13.9,,,,1,partial,partial
Bodega Marine Lab,BML,2024-01-08,,,0.0,0.0,0.0,0.0,925.0,13.0,,,,1,partial,partial
Bodega Marine Lab,BML,2024-01-15,,,0.0,0.0,0.0,0.0,664.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2024-01-22,,,0.0,0.0,0.0,0.0,387.0,12.7,,,,1,partial,partial
Bodega Marine Lab,BML,2024-01-29,,,0.0,0.0,0.0,0.0,361.0,13.350000000000001,,,,2,partial,partial
